month,q_in,q_out,q_out_real,storage,deficit,overflow
01/1968,7.382,1.31,1.31,22.965999999999998,0.0,0.0
02/1968,2.693,1.048,2.067999999999998,23.591,0.0,1.019999999999996
03/1968,9.29,0.786,9.29,23.591,0.0,8.503999999999998
04/1968,10.337,1.834,10.337000000000003,23.591,0.0,8.503
05/1968,3.815,1.834,3.8150000000000013,23.591,0.0,1.9810000000000016
06/1968,1.68,2.62,2.62,22.651,0.0,0.0
07/1968,1.851,3.144,3.144,21.358,0.0,0.0
08/1968,2.159,3.668,3.668,19.849,0.0,0.0
09/1968,3.502,3.668,3.668,19.683,0.0,0.0
10/1968,7.919,2.62,4.010999999999999,23.591,0.0,1.3909999999999982
11/1968,1.926,1.834,1.9259999999999984,23.591,0.0,0.09199999999999875
12/1968,1.731,1.834,1.834,23.488,0.0,0.0
01/1969,1.61,1.31,1.506999999999998,23.591,0.0,0.19699999999999918
02/1969,1.586,1.048,1.5859999999999985,23.591,0.0,0.5380000000000003
03/1969,4.585,0.786,4.585000000000001,23.591,0.0,3.7989999999999995
04/1969,14.331,1.834,14.331000000000003,23.591,0.0,12.497
05/1969,7.644,1.834,7.644000000000002,23.591,0.0,5.810000000000002
06/1969,2.589,2.62,2.62,23.560000000000002,0.0,0.0
07/1969,1.96,3.144,3.144,22.376,0.0,0.0
08/1969,2.115,3.668,3.668,20.823,0.0,0.0
09/1969,2.864,3.668,3.668,20.019,0.0,0.0
10/1969,1.983,2.62,2.62,19.381999999999998,0.0,0.0
11/1969,1.122,1.834,1.834,18.669999999999998,0.0,0.0
12/1969,0.918,1.834,1.834,17.753999999999998,0.0,0.0
01/1970,0.614,1.31,1.31,17.057999999999996,0.0,0.0
02/1970,1.288,1.048,1.048,17.297999999999995,0.0,0.0
03/1970,3.468,0.786,0.786,19.979999999999993,0.0,0.0
04/1970,13.237,1.834,9.625999999999998,23.591,0.0,7.7919999999999945
05/1970,10.275,1.834,10.275000000000006,23.591,0.0,8.441000000000003
06/1970,3.961,2.62,3.961000000000002,23.591,0.0,1.341000000000001
07/1970,1.576,3.144,3.144,22.023,0.0,0.0
08/1970,4.018,3.668,3.668,22.372999999999998,0.0,0.0
09/1970,1.34,3.668,3.668,20.044999999999998,0.0,0.0
10/1970,3.066,2.62,2.62,20.491,0.0,0.0
11/1970,7.431,1.834,4.3309999999999995,23.591,0.0,2.497
12/1970,4.699,1.834,4.698999999999998,23.591,0.0,2.8649999999999984
01/1971,2.063,1.31,2.062999999999999,23.591,0.0,0.7530000000000001
02/1971,2.74,1.048,2.740000000000002,23.591,0.0,1.6920000000000002
03/1971,4.368,0.786,4.368000000000002,23.591,0.0,3.5820000000000007
04/1971,6.877,1.834,6.876999999999999,23.591,0.0,5.042999999999999
05/1971,3.082,1.834,3.0820000000000007,23.591,0.0,1.248000000000001
06/1971,5.093,2.62,5.093,23.591,0.0,2.472999999999999
07/1971,2.068,3.144,3.144,22.515,0.0,0.0
08/1971,1.07,3.668,3.668,19.917,0.0,0.0
09/1971,0.876,3.668,3.668,17.125,0.0,0.0
10/1971,0.791,2.62,2.62,15.296,0.0,0.0
11/1971,0.78,1.834,1.834,14.241999999999999,0.0,0.0
12/1971,4.653,1.834,1.834,17.061,0.0,0.0
01/1972,1.856,1.31,1.31,17.607,0.0,0.0
02/1972,1.008,1.048,1.048,17.567,0.0,0.0
03/1972,0.928,0.786,0.786,17.709,0.0,0.0
04/1972,3.673,1.834,1.834,19.548,0.0,0.0
